FEC_ID,PRIMARY_PCT,GENERAL_PCT,ELEC_CYCLE
H4AL05130,,0.11106612,2014
H4AL06098,0.634868685,0.7618143,2014
H4AL06148,,0.236992082,2014
H4AR01051 ,1,0.323837233,2014
H4AR01069,1,0.043626692,2014
H4AR02133 ,1,0.436004719,2014
H4AR02141 ,0.550837783,0.518573295,2014
H4AR02174 ,1,0.044621413,2014
H4AR02182 ,,0.000800573,2014
H4AR03057,1,0.205855396,2014
H4AR04030 ,,9.70257E-06,2014
H4AR04048 ,0.544505207,0.537468891,2014
H4AR04063 ,1,0.425661351,2014
H4AR04071,1,0.036860055,2014
H4AS00036,,0.420261565,2014
H4AS00069,,0.063634589,2014
H4AS00077,,0.013956666,2014
H4AS00085,,0.110286941,2014
H4AS00093,,0.022350185,2014
H4AZ01038 ,1,0.695781303,2014
H4AZ02119,1,0.034628722,2014
H4AZ02150,,0.000255282,2014
H4AZ02168,,0.000218813,2014
H4AZ03075,,0.000411767,2014
H4AZ03083 ,,7.66078E-05,2014
H4AZ04024,0.732574932,0.758116577,2014
H4AZ04099,1,0.042470844,2014
H4AZ05088,1,0.304218697,2014
H4AZ06045,1,0.64861645,2014
H4AZ07043 ,0.489031498,0.748543904,2014
H4AZ07100,,5.52074E-05,2014
H4AZ07118,,0.000234632,2014
H4AZ07126,,0.00178044,2014
H4CA01066,0.301454726,0.389699222,2014
H4CA02098,0.223314732,0.250087347,2014
H4CA03096,0.465216371,0.472753893,2014
H4CA04102,0.227915979,0.399509316,2014
H4CA05257,0.111461734,0.242684694,2014
H4CA10075,0.263884447,0.438510799,2014
H4CA11081,0.493804077,0.523703838,2014
H4CA11107,0.278608634,0.327260652,2014
H4CA12055,0.280473791,0.482463841,2014
H4CA13087,0.101646301,0.115212334,2014
H4CA15066,0.257134594,0.301946734,2014
H4CA16049,0.760267692,0.672113187,2014
H4CA17021,0.738188417,0.751779587,2014
H4CA18060,0.225794488,0.233040108,2014
H4CA18094,0.225474052,0.322456794,2014
H4CA20082,0.442917236,0.507311993,2014
H4CA21072,0.255696369,0.421658667,2014
H4CA22104,0.249135802,0.279649323,2014
H4CA23011,0.672257859,0.709568033,2014
H4CA23151,0.005316709,0.251605828,2014
H4CA25123,0.283998636,0.533408724,2014
H4CA26147,0.445257697,0.486683664,2014
H4CA28077,0.179363049,0.235049558,2014
H4CA29133,0.257765072,0.253868724,2014
H4CA31071,0.265976826,0.482662551,2014
H4CA32103,0.400481775,0.403442883,2014
H4CA33119,0.188060306,0.591872415,2014
H4CA33135,0.216077904,0.408127585,2014
H4CA34075,0.144383128,0.27464663,2014
H4CA35031,0.656764352,0.634519316,2014
H4CA35049,0.14893617,0.365480684,2014
H4CA36120,0.348105955,0.458159074,2014
H4CA37078,0.1425325,0.157186646,2014
